"Plot.ID","Experiment","Plant.ID","Plant.Num","Comments","Source.Stock","Field","Pedigree","Plot.Name","Row","Range","Plot","Block","Rep"
"24GN1001","24GN","24GN1001_001",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_002",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_003",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_004",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_005",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_006",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_007",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_008",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_009",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1001","24GN","24GN1001_010",NA,"GER NNILS","18AN4542_001s","CFAR600","B73xOh43 NILs","C_OH43/B73_NIL_1017",5,5,"C_OH43/B73_NIL_1017",1,1
"24GN1002","24GN","24GN1002_001",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_002",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_003",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_004",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_005",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_006",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_007",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_008",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_009",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1002","24GN","24GN1002_010",NA,"GER NNILS","23NN0149_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1002",6,5,"Oh43/B73 NIL-1002",1,1
"24GN1003","24GN","24GN1003_001",NA,"GER NNILS","23NN0155_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1017",7,5,"Oh43/B73 NIL-1017",1,1
"24GN1003","24GN","24GN1003_002",NA,"GER NNILS","23NN0155_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1017",7,5,"Oh43/B73 NIL-1017",1,1
"24GN1003","24GN","24GN1003_003",NA,"GER NNILS","23NN0155_001b","CFAR600","B73xOh43 NILs","Oh43/B73 NIL-1017",7,5,"Oh43/B73 NIL-1017",1,1
