Experiment,Plant ID,Plot ID,Plant Num,Comments
24GD,24GD1001_001,24GD1001,,GER DRIL72
24GD,24GD1001_002,24GD1001,,GER DRIL72
24GD,24GD1001_003,24GD1001,,GER DRIL72
24GD,24GD1001_004,24GD1001,,GER DRIL72
24GD,24GD1001_005,24GD1001,,GER DRIL72
24GD,24GD1001_006,24GD1001,,GER DRIL72
24GD,24GD1001_007,24GD1001,,GER DRIL72
24GD,24GD1001_008,24GD1001,,GER DRIL72
24GD,24GD1001_009,24GD1001,,GER DRIL72
24GD,24GD1001_010,24GD1001,,GER DRIL72
24GD,24GD1002_001,24GD1002,,GER DRIL72
24GD,24GD1002_002,24GD1002,,GER DRIL72
24GD,24GD1002_003,24GD1002,,GER DRIL72
24GD,24GD1002_004,24GD1002,,GER DRIL72
24GD,24GD1002_005,24GD1002,,GER DRIL72
24GD,24GD1002_006,24GD1002,,GER DRIL72
24GD,24GD1002_007,24GD1002,,GER DRIL72
24GD,24GD1002_008,24GD1002,,GER DRIL72
24GD,24GD1002_009,24GD1002,,GER DRIL72
24GD,24GD1002_010,24GD1002,,GER DRIL72
24GD,24GD1003_001,24GD1003,,GER DRIL72
24GD,24GD1003_002,24GD1003,,GER DRIL72
24GD,24GD1003_003,24GD1003,,GER DRIL72
24GD,24GD1003_004,24GD1003,,GER DRIL72
24GD,24GD1003_005,24GD1003,,GER DRIL72
24GD,24GD1003_006,24GD1003,,GER DRIL72
24GD,24GD1003_007,24GD1003,,GER DRIL72
24GD,24GD1003_008,24GD1003,,GER DRIL72
24GD,24GD1003_009,24GD1003,,GER DRIL72
24GD,24GD1003_010,24GD1003,,GER DRIL72
24GD,24GD1004_001,24GD1004,,GER DRIL72
24GD,24GD1004_002,24GD1004,,GER DRIL72
24GD,24GD1004_003,24GD1004,,GER DRIL72
24GD,24GD1004_004,24GD1004,,GER DRIL72
24GD,24GD1004_005,24GD1004,,GER DRIL72
24GD,24GD1004_006,24GD1004,,GER DRIL72
24GD,24GD1004_007,24GD1004,,GER DRIL72
