Experiment,Plant ID,Plot ID,Plant Num,Comments
24GM,24GM1001_001,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_002,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_003,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_004,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_005,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_006,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_007,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_008,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_009,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_010,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_011,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_012,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_013,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_014,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_015,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_016,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_017,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_018,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_019,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1001_020,24GM1001,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_001,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_002,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_003,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_004,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_005,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_006,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_007,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_008,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_009,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_010,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_011,24GM1002,,"Silk Inoc, Purple Kernels"
24GM,24GM1002_012,24GM1002,,"Silk Inoc, Purple Kernels"
