Experiment,Plant ID,Plot ID,Plant Num,Comments
24GN,24GN1001_001,24GN1001,,GER NNILS
24GN,24GN1001_002,24GN1001,,GER NNILS
24GN,24GN1001_003,24GN1001,,GER NNILS
24GN,24GN1001_004,24GN1001,,GER NNILS
24GN,24GN1001_005,24GN1001,,GER NNILS
24GN,24GN1001_006,24GN1001,,GER NNILS
24GN,24GN1001_007,24GN1001,,GER NNILS
24GN,24GN1001_008,24GN1001,,GER NNILS
24GN,24GN1001_009,24GN1001,,GER NNILS
24GN,24GN1001_010,24GN1001,,GER NNILS
24GN,24GN1002_001,24GN1002,,GER NNILS
24GN,24GN1002_002,24GN1002,,GER NNILS
24GN,24GN1002_003,24GN1002,,GER NNILS
24GN,24GN1002_004,24GN1002,,GER NNILS
24GN,24GN1002_005,24GN1002,,GER NNILS
24GN,24GN1002_006,24GN1002,,GER NNILS
24GN,24GN1002_007,24GN1002,,GER NNILS
24GN,24GN1002_008,24GN1002,,GER NNILS
24GN,24GN1002_009,24GN1002,,GER NNILS
24GN,24GN1002_010,24GN1002,,GER NNILS
24GN,24GN1003_001,24GN1003,,GER NNILS
24GN,24GN1003_002,24GN1003,,GER NNILS
24GN,24GN1003_003,24GN1003,,GER NNILS
24GN,24GN1003_004,24GN1003,,GER NNILS
24GN,24GN1003_005,24GN1003,,GER NNILS
24GN,24GN1003_006,24GN1003,,GER NNILS
24GN,24GN1003_007,24GN1003,,GER NNILS
24GN,24GN1003_008,24GN1003,,GER NNILS
24GN,24GN1003_009,24GN1003,,GER NNILS
24GN,24GN1003_010,24GN1003,,GER NNILS
24GN,24GN1004_001,24GN1004,,GER NNILS
24GN,24GN1004_002,24GN1004,,GER NNILS
24GN,24GN1004_003,24GN1004,,GER NNILS
24GN,24GN1004_004,24GN1004,,GER NNILS
24GN,24GN1004_005,24GN1004,,GER NNILS
24GN,24GN1004_006,24GN1004,,GER NNILS
24GN,24GN1004_007,24GN1004,,GER NNILS
24GN,24GN1004_008,24GN1004,,GER NNILS
24GN,24GN1004_009,24GN1004,,GER NNILS
24GN,24GN1004_010,24GN1004,,GER NNILS
24GN,24GN1005_001,24GN1005,,GER NNILS
24GN,24GN1005_002,24GN1005,,GER NNILS
24GN,24GN1005_003,24GN1005,,GER NNILS
24GN,24GN1005_004,24GN1005,,GER NNILS
24GN,24GN1005_005,24GN1005,,GER NNILS
24GN,24GN1005_006,24GN1005,,GER NNILS
24GN,24GN1005_007,24GN1005,,GER NNILS
24GN,24GN1005_008,24GN1005,,GER NNILS
24GN,24GN1005_009,24GN1005,,GER NNILS
24GN,24GN1005_010,24GN1005,,GER NNILS
