Plot.ID,Stand.Count,Experiment.Name,Comments
24GD1001,10,24GD,GER DRIL72
24GD1002,10,24GD,GER DRIL72
24GD1003,10,24GD,GER DRIL72
24GD1004,10,24GD,GER DRIL72
24GD1005,10,24GD,GER DRIL72
24GD1006,10,24GD,GER DRIL72
24GD1007,10,24GD,GER DRIL72
24GD1008,10,24GD,GER DRIL72
24GD1009,10,24GD,GER DRIL72
24GD1010,10,24GD,GER DRIL72
24GD1011,10,24GD,GER DRIL72
24GD1012,10,24GD,GER DRIL72
24GD1013,10,24GD,GER DRIL72
24GD1014,10,24GD,GER DRIL72
24GD1015,10,24GD,GER DRIL72
24GD1016,10,24GD,GER DRIL72
24GD1017,10,24GD,GER DRIL72
24GD1018,10,24GD,GER DRIL72
24GD1019,10,24GD,GER DRIL72
24GD1020,10,24GD,GER DRIL72
24GD1021,10,24GD,GER DRIL72
24GD1022,10,24GD,GER DRIL72
24GD1023,10,24GD,GER DRIL72
24GD1024,10,24GD,GER DRIL72
24GD1025,10,24GD,GER DRIL72
24GD1026,10,24GD,GER DRIL72
24GD1027,10,24GD,GER DRIL72
24GD1028,10,24GD,GER DRIL72
24GD1029,10,24GD,GER DRIL72
24GD1030,10,24GD,GER DRIL72
24GD1031,10,24GD,GER DRIL72
24GD1032,10,24GD,GER DRIL72
24GD1033,10,24GD,GER DRIL72
24GD1034,10,24GD,GER DRIL72
24GD1035,10,24GD,GER DRIL72
24GD1036,10,24GD,GER DRIL72
24GD1037,10,24GD,GER DRIL72
24GD1038,10,24GD,GER DRIL72
24GD1039,10,24GD,GER DRIL72
24GD1040,10,24GD,GER DRIL72
24GD1041,10,24GD,GER DRIL72
24GD1042,10,24GD,GER DRIL72
24GD1043,10,24GD,GER DRIL72
24GD1044,10,24GD,GER DRIL72
24GD1045,10,24GD,GER DRIL72
24GD1046,10,24GD,GER DRIL72
24GD1047,10,24GD,GER DRIL72
24GD1048,10,24GD,GER DRIL72
24GD1049,10,24GD,GER DRIL72
24GD1050,10,24GD,GER DRIL72
24GD1051,10,24GD,GER DRIL72
24GD1052,10,24GD,GER DRIL72
24GD1053,10,24GD,GER DRIL72
24GD1054,10,24GD,GER DRIL72
24GD1055,10,24GD,GER DRIL72
24GD1056,10,24GD,GER DRIL72
24GD1057,10,24GD,GER DRIL72
24GD1058,10,24GD,GER DRIL72
24GD1059,10,24GD,GER DRIL72
24GD1060,10,24GD,GER DRIL72
24GD1061,10,24GD,GER DRIL72
24GD1062,10,24GD,GER DRIL72
24GD1063,10,24GD,GER DRIL72
24GD1064,10,24GD,GER DRIL72
24GD1065,10,24GD,GER DRIL72
24GD1066,10,24GD,GER DRIL72
24GD1067,10,24GD,GER DRIL72
24GD1068,10,24GD,GER DRIL72
24GD1069,10,24GD,GER DRIL72
24GD1070,10,24GD,GER DRIL72
24GD1071,10,24GD,GER DRIL72
24GD1072,10,24GD,GER DRIL72
24GD1073,10,24GD,GER DRIL72
24GD1074,10,24GD,GER DRIL72
24GD1075,10,24GD,GER DRIL72
24GD1076,10,24GD,GER DRIL72
24GD1077,10,24GD,GER DRIL72
24GD1078,10,24GD,GER DRIL72
24GD1079,10,24GD,GER DRIL72
24GD1080,10,24GD,GER DRIL72
24GD1081,10,24GD,GER DRIL72
24GD1082,10,24GD,GER DRIL72
24GD1083,10,24GD,GER DRIL72
24GD1084,10,24GD,GER DRIL72
24GD1085,10,24GD,GER DRIL72
24GD1086,10,24GD,GER DRIL72
24GD1087,10,24GD,GER DRIL72
24GD1088,10,24GD,GER DRIL72
24GD1089,10,24GD,GER DRIL72
24GD1090,10,24GD,GER DRIL72
24GD1091,10,24GD,GER DRIL72
24GD1092,10,24GD,GER DRIL72
24GD1093,10,24GD,GER DRIL72
24GD1094,10,24GD,GER DRIL72
24GD1095,10,24GD,GER DRIL72
24GD1096,10,24GD,GER DRIL72
24GD1097,10,24GD,GER DRIL72
24GD1098,10,24GD,GER DRIL72
24GD1099,10,24GD,GER DRIL72
24GD1100,10,24GD,GER DRIL72
24GD1101,10,24GD,GER DRIL72
24GD1102,10,24GD,GER DRIL72
24GD1103,10,24GD,GER DRIL72
24GD1104,10,24GD,GER DRIL72
24GD1105,10,24GD,GER DRIL72
24GD1106,10,24GD,GER DRIL72
24GD1107,10,24GD,GER DRIL72
24GD1108,10,24GD,GER DRIL72
