Plot.ID,Stand.Count,Experiment.Name,Comments
24GM1001,20,24GM,"Silk Inoc, Purple Kernels"
24GM1002,20,24GM,"Silk Inoc, Purple Kernels"
24GM1003,20,24GM,"Silk Inoc, Purple Kernels"
24GM1004,20,24GM,"Silk Inoc, Purple Kernels"
24GM1005,20,24GM,"Silk Inoc, Purple Kernels"
24GM1006,20,24GM,"Silk Inoc, Purple Kernels"
24GM1007,20,24GM,"Silk Inoc, Purple Kernels"
24GM1008,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1009,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1010,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1011,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1012,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1013,20,24GM,"Silk Inoc, Yellow Kernels"
24GM1014,20,24GM,"Silk Inoc, Yellow Kernels"
