Plot.ID,Stand.Count,Experiment.Name,Comments
24GN1001,10,24GN,GER NNILS
24GN1002,10,24GN,GER NNILS
24GN1003,10,24GN,GER NNILS
24GN1004,10,24GN,GER NNILS
24GN1005,10,24GN,GER NNILS
24GN1006,10,24GN,GER NNILS
24GN1007,10,24GN,GER NNILS
24GN1008,10,24GN,GER NNILS
24GN1009,10,24GN,GER NNILS
24GN1010,10,24GN,GER NNILS
24GN1011,10,24GN,GER NNILS
24GN1012,10,24GN,GER NNILS
24GN1013,10,24GN,GER NNILS
24GN1014,10,24GN,GER NNILS
24GN1015,10,24GN,GER NNILS
24GN1016,10,24GN,GER NNILS
24GN1017,10,24GN,GER NNILS
24GN1018,10,24GN,GER NNILS
24GN1019,10,24GN,GER NNILS
24GN1020,10,24GN,GER NNILS
24GN1021,10,24GN,GER NNILS
24GN1022,10,24GN,GER NNILS
24GN1023,10,24GN,GER NNILS
24GN1024,10,24GN,GER NNILS
24GN1025,10,24GN,GER NNILS
24GN1026,10,24GN,GER NNILS
24GN1027,10,24GN,GER NNILS
24GN1028,10,24GN,GER NNILS
24GN1029,10,24GN,GER NNILS
24GN1030,10,24GN,GER NNILS
24GN1031,10,24GN,GER NNILS
24GN1032,10,24GN,GER NNILS
24GN1033,10,24GN,GER NNILS
24GN1034,10,24GN,GER NNILS
24GN1035,10,24GN,GER NNILS
24GN1036,10,24GN,GER NNILS
24GN1037,10,24GN,GER NNILS
24GN1038,10,24GN,GER NNILS
24GN1039,10,24GN,GER NNILS
24GN1040,10,24GN,GER NNILS
24GN1041,10,24GN,GER NNILS
24GN1042,10,24GN,GER NNILS
24GN1043,10,24GN,GER NNILS
24GN1044,10,24GN,GER NNILS
24GN1045,10,24GN,GER NNILS
24GN1046,10,24GN,GER NNILS
24GN1047,10,24GN,GER NNILS
24GN1048,10,24GN,GER NNILS
24GN1049,10,24GN,GER NNILS
24GN1050,10,24GN,GER NNILS
24GN1051,10,24GN,GER NNILS
24GN1052,10,24GN,GER NNILS
24GN1053,10,24GN,GER NNILS
24GN1054,10,24GN,GER NNILS
24GN1055,10,24GN,GER NNILS
24GN1056,10,24GN,GER NNILS
24GN1057,10,24GN,GER NNILS
24GN1058,10,24GN,GER NNILS
24GN1059,10,24GN,GER NNILS
24GN1060,10,24GN,GER NNILS
24GN1061,10,24GN,GER NNILS
24GN1062,10,24GN,GER NNILS
24GN1063,10,24GN,GER NNILS
24GN1064,10,24GN,GER NNILS
24GN1065,10,24GN,GER NNILS
24GN1066,10,24GN,GER NNILS
24GN1067,10,24GN,GER NNILS
24GN1068,10,24GN,GER NNILS
24GN1069,10,24GN,GER NNILS
24GN1070,10,24GN,GER NNILS
24GN1071,10,24GN,GER NNILS
24GN1072,10,24GN,GER NNILS
24GN1073,10,24GN,GER NNILS
24GN1074,10,24GN,GER NNILS
24GN1075,10,24GN,GER NNILS
24GN1076,10,24GN,GER NNILS
24GN1077,10,24GN,GER NNILS
24GN1078,10,24GN,GER NNILS
24GN1079,10,24GN,GER NNILS
24GN1080,10,24GN,GER NNILS
24GN1081,10,24GN,GER NNILS
24GN1082,10,24GN,GER NNILS
24GN1083,10,24GN,GER NNILS
24GN1084,10,24GN,GER NNILS
24GN1085,10,24GN,GER NNILS
24GN1086,10,24GN,GER NNILS
24GN1087,10,24GN,GER NNILS
24GN1088,10,24GN,GER NNILS
24GN1089,10,24GN,GER NNILS
24GN1090,10,24GN,GER NNILS
24GN1091,10,24GN,GER NNILS
24GN1092,10,24GN,GER NNILS
24GN1093,10,24GN,GER NNILS
24GN1094,10,24GN,GER NNILS
24GN1095,10,24GN,GER NNILS
24GN1096,10,24GN,GER NNILS
24GN1097,10,24GN,GER NNILS
24GN1098,10,24GN,GER NNILS
24GN1099,10,24GN,GER NNILS
24GN1100,10,24GN,GER NNILS
24GN1101,10,24GN,GER NNILS
24GN1102,10,24GN,GER NNILS
24GN1103,10,24GN,GER NNILS
24GN1104,10,24GN,GER NNILS
24GN1105,10,24GN,GER NNILS
24GN1106,10,24GN,GER NNILS
24GN1107,10,24GN,GER NNILS
24GN1108,10,24GN,GER NNILS
24GN1109,10,24GN,GER NNILS
24GN1110,10,24GN,GER NNILS
24GN1111,10,24GN,GER NNILS
24GN1112,10,24GN,GER NNILS
24GN1113,10,24GN,GER NNILS
24GN1114,10,24GN,GER NNILS
24GN1115,10,24GN,GER NNILS
24GN1116,10,24GN,GER NNILS
24GN1117,10,24GN,GER NNILS
24GN1118,10,24GN,GER NNILS
24GN1119,10,24GN,GER NNILS
24GN1120,10,24GN,GER NNILS
24GN1121,10,24GN,GER NNILS
24GN1122,10,24GN,GER NNILS
24GN1123,10,24GN,GER NNILS
24GN1124,10,24GN,GER NNILS
24GN1125,10,24GN,GER NNILS
24GN1126,10,24GN,GER NNILS
24GN1127,10,24GN,GER NNILS
24GN1128,10,24GN,GER NNILS
24GN1129,10,24GN,GER NNILS
24GN1130,10,24GN,GER NNILS
24GN1131,10,24GN,GER NNILS
