Plot.ID,Stand.Count,Experiment.Name,Comments
24GT1001,10,24GT,SILK INOC
24GT1002,10,24GT,SILK INOC
24GT1003,10,24GT,SILK INOC
24GT1004,10,24GT,SILK INOC
24GT1005,10,24GT,SILK INOC
24GT1006,10,24GT,SILK INOC
24GT1007,10,24GT,SILK INOC
24GT1008,10,24GT,SILK INOC
24GT1009,10,24GT,SILK INOC
24GT1010,10,24GT,SILK INOC
24GT1011,10,24GT,SILK INOC
24GT1012,10,24GT,SILK INOC
24GT1013,10,24GT,SILK INOC
24GT1014,10,24GT,SILK INOC
24GT1015,10,24GT,SILK INOC
24GT1016,10,24GT,SILK INOC
24GT1017,10,24GT,SILK INOC
24GT1018,10,24GT,SILK INOC
24GT1019,10,24GT,SILK INOC
24GT1020,10,24GT,SILK INOC
24GT1021,10,24GT,SILK INOC
24GT1022,10,24GT,SILK INOC
24GT1023,10,24GT,SILK INOC
24GT1024,10,24GT,SILK INOC
24GT1025,10,24GT,SILK INOC
24GT1026,10,24GT,SILK INOC
24GT1027,10,24GT,SILK INOC
24GT1028,10,24GT,SILK INOC
24GT1029,10,24GT,SILK INOC
24GT1030,10,24GT,SILK INOC
24GT1031,10,24GT,SILK INOC
24GT1032,10,24GT,SILK INOC
24GT1033,10,24GT,SILK INOC
24GT1034,10,24GT,SILK INOC
24GT1035,10,24GT,SILK INOC
24GT1036,10,24GT,SILK INOC
24GT1037,10,24GT,SILK INOC
24GT1038,10,24GT,SILK INOC
24GT1039,10,24GT,SILK INOC
24GT1040,10,24GT,SILK INOC
24GT1041,10,24GT,SILK INOC
24GT1042,10,24GT,SILK INOC
24GT1043,10,24GT,SILK INOC
24GT1044,10,24GT,SILK INOC
24GT1045,10,24GT,SILK INOC
24GT1046,10,24GT,SILK INOC
24GT1047,10,24GT,SILK INOC
24GT1048,10,24GT,SILK INOC
24GT1049,10,24GT,SILK INOC
24GT1050,10,24GT,SILK INOC
24GT1051,10,24GT,KERNEL INOC
24GT1052,10,24GT,KERNEL INOC
24GT1053,10,24GT,KERNEL INOC
24GT1054,10,24GT,KERNEL INOC
24GT1055,10,24GT,KERNEL INOC
24GT1056,10,24GT,KERNEL INOC
24GT1057,10,24GT,KERNEL INOC
24GT1058,10,24GT,KERNEL INOC
24GT1059,10,24GT,KERNEL INOC
24GT1060,10,24GT,KERNEL INOC
24GT1061,10,24GT,KERNEL INOC
24GT1062,10,24GT,KERNEL INOC
24GT1063,10,24GT,KERNEL INOC
24GT1064,10,24GT,KERNEL INOC
24GT1065,10,24GT,KERNEL INOC
24GT1066,10,24GT,KERNEL INOC
24GT1067,10,24GT,KERNEL INOC
24GT1068,10,24GT,KERNEL INOC
24GT1069,10,24GT,KERNEL INOC
24GT1070,10,24GT,KERNEL INOC
24GT1071,10,24GT,KERNEL INOC
24GT1072,10,24GT,KERNEL INOC
24GT1073,10,24GT,KERNEL INOC
24GT1074,10,24GT,KERNEL INOC
24GT1075,10,24GT,KERNEL INOC
24GT1076,10,24GT,KERNEL INOC
24GT1077,10,24GT,KERNEL INOC
24GT1078,10,24GT,KERNEL INOC
24GT1079,10,24GT,KERNEL INOC
24GT1080,10,24GT,KERNEL INOC
24GT1081,10,24GT,KERNEL INOC
24GT1082,10,24GT,KERNEL INOC
24GT1083,10,24GT,KERNEL INOC
24GT1084,10,24GT,KERNEL INOC
24GT1085,10,24GT,KERNEL INOC
24GT1086,10,24GT,KERNEL INOC
24GT1087,10,24GT,KERNEL INOC
24GT1088,10,24GT,KERNEL INOC
24GT1089,10,24GT,KERNEL INOC
24GT1090,10,24GT,KERNEL INOC
24GT1091,10,24GT,KERNEL INOC
24GT1092,10,24GT,KERNEL INOC
24GT1093,10,24GT,KERNEL INOC
24GT1094,10,24GT,KERNEL INOC
24GT1095,10,24GT,KERNEL INOC
24GT1096,10,24GT,KERNEL INOC
24GT1097,10,24GT,KERNEL INOC
24GT1098,10,24GT,KERNEL INOC
24GT1099,10,24GT,KERNEL INOC
24GT1100,10,24GT,KERNEL INOC
